zip_code,year,quarter,sewer_overflow_incidents
20163,2024,1,1
20601,2023,4,2
20601,2024,2,4
20601,2025,4,1
20601,2026,1,1
20602,2024,1,2
20603,2025,3,1
20607,2023,1,1
20607,2023,2,2
20607,2023,3,1
20607,2023,4,2
20607,2024,1,1
20607,2025,2,1
20611,2025,4,1
20613,2023,4,1
20619,2024,2,1
20619,2025,3,1
20620,2026,1,1
20622,2023,3,1
20622,2024,2,1
20622,2025,1,1
20634,2025,4,1
20635,2024,1,1
20639,2025,1,1
20639,2025,3,1
20640,2023,3,2
20640,2023,4,1
20640,2024,1,4
20640,2024,2,3
20640,2025,1,1
20646,2023,3,4
20646,2023,4,3
20646,2024,1,1
20646,2024,3,3
20646,2025,2,1
20650,2024,2,1
20650,2025,1,2
20650,2025,2,1
20650,2026,1,2
20653,2024,1,1
20653,2024,4,1
20653,2025,3,1
20653,2026,1,1
20657,2023,1,1
20657,2024,2,1
20657,2025,2,1
20660,2026,1,1
20664,2025,4,1
20670,2023,3,1
20670,2023,4,2
20670,2024,1,1
20670,2025,2,1
20670,2025,3,2
20674,2024,1,1
20674,2026,1,1
20675,2024,1,1
20676,2023,4,1
20678,2025,1,1
20678,2026,1,1
20680,2025,1,1
20686,2024,3,2
20686,2025,4,1
20687,2026,1,1
20688,2025,3,1
20690,2023,3,2
20690,2024,2,2
20690,2025,1,2
20692,2023,2,1
20692,2023,4,1
20692,2025,2,1
20692,2026,1,1
20705,2023,2,1
20705,2023,3,1
20705,2023,4,1
20705,2024,1,1
20705,2025,3,1
20705,2025,4,1
20706,2025,2,1
20707,2023,1,1
20707,2024,1,1
20707,2024,4,3
20707,2025,2,1
20708,2025,3,1
20708,2026,1,3
20710,2024,1,1
20711,2023,2,1
20711,2024,4,1
20711,2025,3,1
20711,2025,4,1
20711,2026,1,1
20712,2024,1,1
20712,2024,2,1
20714,2025,4,1
20715,2024,1,2
20715,2025,2,1
20715,2025,3,1
20716,2024,4,1
20716,2025,2,1
20716,2026,1,2
20720,2025,3,1
20721,2024,1,2
20721,2024,2,1
20721,2026,1,1
20722,2024,4,1
20723,2023,4,1
20723,2024,4,1
20723,2025,1,1
20723,2025,2,2
20723,2025,3,1
20723,2026,1,1
20724,2023,3,1
20724,2024,1,1
20724,2025,3,1
20732,2023,2,1
20732,2023,3,1
20732,2023,4,1
20732,2024,4,1
20733,2023,4,2
20733,2024,2,1
20733,2025,1,1
20733,2025,3,1
20733,2026,1,1
20735,2023,4,2
20735,2024,4,2
20735,2025,1,1
20737,2024,1,1
20737,2024,3,1
20737,2025,2,2
20740,2023,1,1
20740,2023,4,1
20740,2024,2,1
20740,2024,3,2
20740,2025,2,1
20740,2025,3,1
20740,2026,1,1
20742,2023,1,1
20742,2023,3,1
20743,2023,4,1
20744,2023,1,3
20744,2023,2,1
20744,2023,3,1
20744,2023,4,4
20744,2024,1,1
20744,2024,4,2
20744,2025,2,1
20744,2025,4,3
20744,2026,1,2
20745,2023,3,2
20745,2024,1,2
20745,2025,3,1
20746,2023,2,2
20746,2023,4,1
20746,2024,3,3
20746,2024,4,1
20746,2025,4,2
20746,2026,1,1
20747,2023,2,1
20747,2024,2,1
20747,2026,1,1
20748,2023,1,1
20748,2023,4,1
20748,2024,1,1
20748,2025,2,2
20748,2025,3,1
20755,2023,1,2
20755,2023,4,2
20755,2024,1,1
20755,2024,2,2
20755,2024,3,1
20755,2025,1,1
20763,2023,1,1
20763,2023,3,2
20763,2024,1,4
20763,2024,3,1
20763,2024,4,1
20763,2026,1,1
20764,2024,2,1
20764,2025,2,1
20770,2023,1,1
20770,2024,1,1
20770,2025,1,1
20772,2023,1,3
20772,2024,1,2
20772,2024,3,1
20772,2024,4,2
20772,2025,4,2
20774,2023,1,2
20774,2023,2,1
20774,2023,3,1
20774,2024,1,2
20774,2024,2,1
20774,2025,3,1
20774,2026,1,1
20778,2023,3,1
20781,2023,1,1
20781,2023,2,1
20781,2024,4,1
20781,2025,1,1
20782,2023,2,2
20782,2023,3,1
20782,2024,1,1
20782,2024,4,1
20782,2026,1,1
20783,2023,4,1
20783,2024,1,2
20783,2024,2,1
20783,2024,4,2
20783,2025,1,2
20783,2025,3,1
20783,2025,4,1
20783,2026,1,1
20784,2023,2,1
20784,2025,2,1
20784,2025,3,1
20785,2023,1,1
20785,2024,1,1
20785,2024,2,1
20785,2024,4,1
20785,2025,1,1
20785,2025,2,1
20788,2024,4,1
20794,2024,1,2
20794,2024,2,1
20794,2025,4,1
20814,2023,1,1
20815,2023,3,2
20815,2023,4,1
20815,2024,1,1
20815,2024,2,1
20815,2024,3,1
20815,2025,2,1
20816,2025,1,1
20816,2025,2,1
20816,2025,4,3
20817,2023,1,1
20817,2023,2,1
20817,2023,4,1
20817,2024,2,1
20817,2025,3,2
20817,2025,4,1
20818,2025,1,1
20818,2026,1,2
20832,2024,2,1
20832,2025,1,1
20832,2025,2,1
20837,2023,1,1
20837,2024,3,1
20837,2025,1,1
20841,2023,2,1
20841,2023,3,1
20841,2026,1,1
20842,2024,4,1
20850,2023,4,6
20850,2024,1,2
20850,2024,3,1
20850,2024,4,1
20850,2025,4,3
20851,2024,2,1
20851,2024,4,1
20852,2023,1,2
20852,2023,2,1
20852,2024,3,1
20852,2025,1,1
20852,2025,3,2
20853,2024,1,1
20853,2025,1,2
20853,2025,2,1
20853,2025,3,1
20853,2025,4,1
20854,2023,1,4
20854,2024,1,2
20854,2024,4,4
20854,2025,2,1
20854,2025,3,3
20854,2026,1,2
20855,2024,3,1
20859,2024,4,1
20860,2024,1,1
20861,2024,1,1
20866,2024,1,1
20866,2025,1,1
20866,2025,4,2
20866,2026,1,1
20871,2025,2,1
20872,2025,4,1
20874,2023,4,1
20874,2024,3,1
20874,2025,1,2
20874,2025,2,1
20874,2025,4,1
20876,2025,4,1
20877,2023,4,1
20877,2024,4,1
20877,2026,1,1
20878,2023,3,1
20878,2023,4,1
20878,2024,2,1
20878,2024,3,1
20878,2024,4,1
20878,2025,1,1
20879,2023,3,1
20879,2025,2,1
20879,2025,4,1
20882,2025,2,1
20886,2024,4,1
20886,2025,1,1
20886,2025,2,2
20886,2025,3,1
20892,2025,3,1
20895,2025,3,2
20901,2023,2,1
20901,2023,4,1
20901,2024,1,1
20901,2024,3,1
20901,2025,1,3
20901,2025,2,1
20901,2025,4,1
20901,2026,1,1
20902,2023,2,1
20902,2024,4,2
20902,2025,3,2
20903,2023,1,2
20903,2024,3,2
20903,2025,1,1
20904,2023,1,2
20904,2023,3,1
20904,2025,1,1
20904,2026,1,1
20906,2023,2,1
20906,2023,4,1
20906,2024,2,1
20906,2025,1,1
20906,2025,2,1
20906,2025,3,1
20906,2025,4,2
20906,2026,1,1
20910,2023,3,1
20910,2023,4,1
20910,2024,1,1
20910,2024,3,2
20910,2024,4,2
20910,2025,1,2
20910,2025,4,1
20912,2024,2,1
20912,2024,4,1
20912,2025,4,2
21001,2025,4,1
21005,2024,3,2
21009,2024,1,1
21012,2024,3,1
21012,2026,1,1
21014,2023,2,3
21014,2023,4,1
21014,2024,1,1
21015,2025,4,1
21027,2023,3,1
21029,2023,1,1
21029,2023,2,1
21029,2023,3,2
21029,2024,1,3
21029,2024,2,2
21029,2024,4,1
21029,2025,2,2
21030,2023,3,1
21030,2024,1,1
21030,2024,4,1
21030,2025,1,3
21030,2025,4,1
21032,2024,1,1
21035,2026,1,1
21037,2024,1,3
21037,2024,2,1
21037,2024,4,1
21037,2025,2,1
21040,2024,1,2
21040,2024,3,1
21040,2025,2,1
21042,2023,3,1
21042,2024,1,1
21042,2024,4,1
21042,2025,2,2
21042,2025,3,1
21043,2023,3,1
21043,2023,4,1
21043,2025,1,1
21043,2025,3,1
21043,2025,4,1
21043,2026,1,1
21044,2023,2,1
21044,2023,3,1
21044,2023,4,1
21044,2024,1,1
21044,2024,4,1
21044,2025,3,1
21044,2025,4,2
21044,2026,1,1
21045,2024,2,1
21045,2025,1,2
21045,2025,2,2
21045,2025,3,1
21046,2023,2,1
21046,2023,4,1
21046,2025,3,1
21049,2024,1,1
21049,2024,4,1
21049,2026,1,1
21050,2025,3,1
21052,2023,3,1
21054,2023,2,2
21057,2023,2,1
21060,2023,2,1
21060,2023,3,2
21060,2023,4,10
21060,2024,2,2
21060,2024,3,5
21060,2024,4,1
21060,2025,1,2
21061,2023,4,1
21061,2024,1,1
21061,2024,2,1
21061,2024,4,5
21061,2025,3,2
21074,2023,2,1
21074,2024,2,1
21074,2025,3,1
21074,2025,4,1
21075,2023,2,2
21075,2024,2,1
21075,2024,4,1
21076,2024,3,1
21076,2024,4,1
21076,2025,4,2
21078,2024,2,4
21078,2025,1,4
21078,2025,3,1
21078,2025,4,1
21085,2023,3,1
21085,2025,1,1
21085,2025,4,1
21090,2023,2,1
21090,2023,3,1
21090,2023,4,1
21090,2024,1,1
21090,2024,2,1
21090,2024,3,1
21090,2024,4,1
21090,2026,1,1
21093,2023,1,1
21093,2023,2,1
21093,2023,4,2
21093,2024,3,1
21102,2025,2,1
21106,2024,1,1
21108,2025,1,1
21108,2026,1,1
21113,2024,1,1
21113,2024,4,2
21113,2025,1,2
21113,2025,2,1
21113,2025,3,1
21114,2023,3,2
21114,2023,4,1
21114,2025,1,2
21114,2025,2,1
21114,2025,3,3
21114,2025,4,3
21114,2026,1,1
21117,2023,4,3
21117,2024,1,1
21117,2024,3,1
21117,2024,4,3
21117,2025,2,4
21117,2025,4,3
21120,2025,1,1
21122,2023,4,2
21122,2024,1,1
21122,2024,2,1
21122,2024,3,1
21122,2025,1,1
21122,2025,3,1
21122,2025,4,3
21128,2024,3,1
21130,2023,2,1
21130,2026,1,1
21133,2023,2,2
21133,2024,1,1
21133,2024,4,1
21133,2025,1,2
21133,2025,4,2
21133,2026,1,3
21136,2025,2,1
21136,2025,4,3
21140,2024,2,1
21144,2023,3,1
21144,2025,1,1
21146,2024,3,1
21146,2024,4,1
21146,2025,1,1
21152,2023,3,1
21157,2023,2,1
21158,2023,1,1
21162,2024,3,1
21163,2025,4,1
21201,2023,3,1
21201,2024,1,3
21201,2024,2,2
21201,2024,3,1
21201,2025,1,4
21201,2025,2,2
21201,2025,3,4
21201,2025,4,2
21201,2026,1,2
21202,2023,3,4
21202,2023,4,4
21202,2024,1,7
21202,2024,2,1
21202,2024,3,6
21202,2024,4,5
21202,2025,1,1
21202,2025,2,3
21202,2025,3,2
21202,2025,4,3
21202,2026,1,2
21203,2023,1,1
21204,2023,2,2
21204,2024,1,4
21204,2024,4,1
21204,2025,3,2
21205,2023,1,1
21205,2023,2,1
21205,2024,1,2
21205,2024,3,1
21205,2024,4,1
21205,2025,1,1
21205,2025,3,1
21205,2025,4,1
21205,2026,1,3
21206,2023,1,2
21206,2023,2,2
21206,2023,3,8
21206,2023,4,3
21206,2024,1,10
21206,2024,2,7
21206,2024,3,6
21206,2024,4,6
21206,2025,1,6
21206,2025,2,6
21206,2025,3,4
21206,2025,4,1
21206,2026,1,4
21207,2023,1,1
21207,2023,2,1
21207,2023,3,8
21207,2023,4,5
21207,2024,1,7
21207,2024,2,8
21207,2024,4,2
21207,2025,1,3
21207,2025,2,6
21207,2025,4,2
21207,2026,1,5
21208,2023,2,1
21208,2024,1,1
21208,2024,2,1
21208,2024,3,3
21208,2024,4,2
21208,2025,2,2
21208,2025,4,1
21209,2023,2,1
21209,2023,3,1
21209,2024,1,5
21209,2024,2,1
21209,2024,3,4
21209,2024,4,1
21209,2025,1,12
21209,2025,2,6
21209,2025,3,3
21209,2025,4,2
21209,2026,1,3
21210,2023,2,2
21210,2023,3,2
21210,2024,1,3
21210,2024,3,2
21210,2024,4,3
21210,2025,1,8
21210,2025,2,5
21210,2025,3,2
21210,2025,4,1
21210,2026,1,2
21211,2023,2,1
21211,2023,3,1
21211,2023,4,3
21211,2024,1,3
21211,2024,2,1
21211,2024,3,4
21211,2024,4,2
21211,2025,1,2
21211,2025,2,2
21211,2025,3,4
21211,2025,4,6
21211,2026,1,1
21212,2023,2,1
21212,2023,3,2
21212,2023,4,2
21212,2024,1,2
21212,2024,2,3
21212,2024,3,2
21212,2024,4,4
21212,2025,2,4
21212,2025,3,3
21212,2025,4,5
21212,2026,1,1
21213,2024,1,4
21213,2024,3,2
21213,2024,4,2
21213,2025,1,2
21213,2025,2,1
21213,2025,3,6
21213,2025,4,3
21213,2026,1,3
21214,2023,4,1
21214,2024,1,1
21214,2024,4,1
21214,2025,1,2
21214,2025,4,6
21214,2026,1,2
21215,2023,1,1
21215,2023,2,2
21215,2023,3,2
21215,2023,4,3
21215,2024,1,5
21215,2024,2,6
21215,2024,3,1
21215,2024,4,4
21215,2025,1,8
21215,2025,2,11
21215,2025,3,3
21215,2025,4,16
21215,2026,1,7
21216,2023,1,1
21216,2023,2,2
21216,2023,3,2
21216,2023,4,4
21216,2024,1,8
21216,2024,2,8
21216,2024,3,1
21216,2024,4,6
21216,2025,1,8
21216,2025,2,7
21216,2025,3,5
21216,2025,4,10
21216,2026,1,6
21217,2023,1,1
21217,2023,3,1
21217,2024,1,7
21217,2024,2,3
21217,2024,3,2
21217,2024,4,4
21217,2025,1,11
21217,2025,2,7
21217,2025,3,8
21217,2025,4,5
21217,2026,1,1
21218,2023,1,2
21218,2023,2,1
21218,2023,3,4
21218,2023,4,1
21218,2024,1,3
21218,2024,2,3
21218,2024,3,3
21218,2024,4,1
21218,2025,1,3
21218,2025,2,4
21218,2025,3,6
21218,2025,4,7
21218,2026,1,3
21219,2023,3,2
21219,2024,1,1
21219,2024,3,1
21219,2026,1,1
21220,2023,1,1
21220,2023,2,2
21220,2023,3,1
21220,2023,4,3
21220,2024,1,4
21220,2024,2,1
21220,2024,3,4
21220,2025,1,2
21220,2025,2,1
21220,2025,3,5
21220,2025,4,1
21220,2026,1,4
21221,2023,2,1
21221,2023,4,3
21221,2024,1,1
21221,2024,3,2
21221,2025,3,1
21221,2026,1,1
21222,2023,1,1
21222,2023,2,1
21222,2023,3,2
21222,2023,4,2
21222,2024,1,2
21222,2024,4,2
21222,2025,1,1
21222,2025,2,1
21222,2025,3,2
21222,2025,4,5
21222,2026,1,1
21223,2023,2,2
21223,2024,1,3
21223,2024,2,1
21223,2024,3,1
21223,2024,4,5
21223,2025,1,9
21223,2025,2,5
21223,2025,3,4
21223,2025,4,6
21223,2026,1,2
21224,2023,1,2
21224,2023,2,8
21224,2023,3,2
21224,2023,4,6
21224,2024,1,12
21224,2024,2,1
21224,2024,4,1
21224,2025,1,11
21224,2025,2,5
21224,2025,3,7
21224,2025,4,9
21224,2026,1,11
21225,2023,3,2
21225,2023,4,4
21225,2024,2,3
21225,2024,4,1
21225,2025,2,2
21226,2023,2,3
21226,2023,3,1
21226,2023,4,6
21226,2024,1,10
21226,2024,2,6
21226,2024,3,2
21226,2024,4,4
21226,2025,1,6
21226,2025,2,15
21226,2025,3,6
21226,2025,4,8
21226,2026,1,6
21227,2023,3,1
21227,2023,4,3
21227,2024,1,2
21227,2024,2,1
21227,2024,4,7
21227,2025,1,3
21227,2025,2,1
21227,2025,3,1
21227,2026,1,3
21228,2023,3,2
21228,2023,4,2
21228,2024,1,6
21228,2024,2,9
21228,2024,3,3
21228,2024,4,3
21228,2025,1,2
21228,2025,2,4
21228,2025,3,2
21228,2025,4,2
21228,2026,1,1
21229,2023,1,2
21229,2023,2,4
21229,2023,3,2
21229,2023,4,5
21229,2024,1,8
21229,2024,2,6
21229,2024,3,4
21229,2024,4,9
21229,2025,1,11
21229,2025,2,5
21229,2025,3,3
21229,2025,4,6
21229,2026,1,2
21230,2023,1,2
21230,2023,2,2
21230,2023,3,1
21230,2023,4,4
21230,2024,1,1
21230,2024,2,1
21230,2024,3,4
21230,2024,4,7
21230,2025,1,5
21230,2025,2,8
21230,2025,3,6
21230,2025,4,6
21230,2026,1,7
21231,2024,4,2
21231,2025,1,1
21231,2025,2,6
21231,2025,4,2
21231,2026,1,1
21234,2023,2,1
21234,2023,3,6
21234,2023,4,4
21234,2024,1,4
21234,2024,2,1
21234,2024,4,1
21234,2025,1,1
21234,2025,2,5
21234,2025,3,2
21234,2025,4,3
21234,2026,1,2
21236,2023,2,3
21236,2023,3,3
21236,2024,1,3
21236,2024,2,2
21236,2024,3,4
21236,2025,1,1
21236,2025,3,1
21236,2025,4,2
21237,2023,1,1
21237,2023,4,4
21237,2024,1,3
21237,2024,3,1
21237,2025,1,1
21237,2025,2,4
21239,2023,1,1
21239,2024,4,1
21239,2025,1,4
21239,2025,2,3
21239,2025,3,1
21239,2025,4,2
21239,2026,1,1
21240,2024,3,1
21240,2024,4,1
21240,2025,4,1
21244,2023,2,3
21244,2023,3,3
21244,2024,2,2
21244,2024,3,1
21244,2025,2,2
21244,2025,4,1
21251,2023,4,1
21251,2025,3,1
21266,2023,3,1
21286,2024,1,2
21286,2024,4,1
21286,2025,1,1
21286,2025,3,1
21286,2025,4,1
21293,2023,2,1
21401,2023,2,1
21401,2023,3,1
21401,2024,1,1
21401,2024,2,1
21401,2025,2,5
21401,2025,3,4
21401,2025,4,2
21401,2026,1,1
21402,2023,4,1
21403,2023,1,1
21403,2023,3,3
21403,2023,4,2
21403,2024,1,6
21403,2024,2,3
21403,2024,3,1
21403,2024,4,1
21403,2025,1,1
21403,2025,2,3
21406,2025,4,1
21409,2023,1,1
21409,2023,2,1
21409,2023,3,1
21409,2024,4,2
21409,2025,1,2
21409,2025,4,1
21409,2026,1,1
21411,2023,1,1
21501,2023,2,1
21501,2025,2,1
21501,2025,3,1
21502,2023,1,6
21502,2023,2,16
21502,2023,3,17
21502,2023,4,20
21502,2024,1,45
21502,2024,2,30
21502,2024,3,23
21502,2024,4,6
21502,2025,1,13
21502,2025,2,39
21502,2025,3,24
21502,2025,4,8
21502,2026,1,10
21504,2023,1,10
21504,2023,2,13
21504,2023,3,10
21504,2023,4,8
21504,2024,1,14
21504,2024,2,11
21504,2024,3,7
21504,2025,1,5
21504,2025,2,9
21504,2025,3,1
21504,2025,4,2
21504,2026,1,2
21520,2025,3,1
21520,2026,1,1
21523,2025,2,1
21524,2025,2,1
21530,2023,4,1
21530,2025,3,1
21532,2023,1,6
21532,2023,2,8
21532,2023,3,22
21532,2023,4,15
21532,2024,1,22
21532,2024,2,22
21532,2024,3,10
21532,2024,4,4
21532,2025,1,4
21532,2025,2,29
21532,2025,3,14
21532,2025,4,8
21532,2026,1,7
21536,2024,2,2
21536,2025,2,1
21541,2025,3,1
21550,2023,2,2
21550,2024,2,1
21550,2024,3,1
21550,2025,1,1
21550,2025,2,1
21550,2025,3,1
21550,2025,4,1
21556,2024,2,1
21556,2025,2,2
21557,2024,3,1
21562,2024,1,1
21562,2024,3,1
21562,2025,2,1
21601,2023,2,1
21601,2023,3,1
21601,2023,4,1
21601,2024,1,2
21601,2024,3,2
21610,2024,3,1
21613,2023,1,1
21613,2023,2,4
21613,2023,3,4
21613,2023,4,6
21613,2024,1,12
21613,2024,2,3
21613,2024,4,1
21613,2025,1,4
21613,2025,3,4
21613,2026,1,5
21617,2024,3,1
21619,2023,3,1
21620,2023,3,1
21620,2025,3,1
21629,2024,1,1
21632,2023,3,1
21632,2024,1,1
21632,2024,3,1
21632,2025,2,1
21639,2023,3,1
21639,2025,4,1
21640,2025,1,1
21655,2024,1,1
21661,2023,2,5
21661,2023,3,3
21661,2023,4,1
21661,2024,1,1
21661,2024,2,3
21661,2024,3,1
21661,2025,2,5
21661,2025,3,3
21663,2023,2,2
21663,2023,3,1
21663,2023,4,1
21663,2024,1,1
21663,2024,2,1
21663,2024,4,2
21663,2025,3,1
21663,2026,1,1
21666,2024,4,1
21671,2023,4,1
21677,2024,2,1
21677,2025,4,1
21678,2023,4,1
21679,2024,3,1
21701,2023,2,1
21701,2024,1,2
21701,2024,4,1
21701,2025,2,1
21701,2025,3,1
21702,2025,2,1
21703,2023,3,1
21703,2024,1,1
21703,2024,3,1
21704,2023,2,1
21704,2023,4,2
21704,2024,2,1
21704,2024,4,1
21704,2025,4,2
21704,2026,1,1
21705,2024,2,1
21710,2025,2,1
21713,2023,3,2
21713,2024,1,2
21713,2024,3,1
21713,2025,2,1
21716,2023,4,1
21716,2025,3,1
21716,2025,4,1
21717,2024,1,1
21719,2025,2,1
21720,2024,1,1
21723,2023,1,1
21723,2024,3,1
21723,2025,3,1
21727,2023,1,1
21727,2023,3,1
21727,2023,4,1
21727,2024,1,2
21727,2024,2,2
21727,2024,4,1
21727,2025,2,1
21737,2026,1,1
21740,2023,1,1
21740,2023,2,2
21740,2023,3,2
21740,2023,4,1
21740,2024,2,2
21740,2024,3,3
21740,2024,4,2
21740,2025,1,2
21740,2025,2,2
21740,2025,3,3
21740,2025,4,2
21742,2023,3,2
21742,2023,4,1
21742,2024,3,1
21742,2025,3,1
21742,2026,1,1
21746,2024,1,1
21750,2023,1,1
21750,2023,3,1
21750,2024,1,3
21750,2024,2,3
21750,2025,1,1
21750,2025,2,4
21750,2025,3,1
21750,2025,4,3
21750,2026,1,3
21755,2024,4,1
21756,2023,4,1
21760,2024,2,1
21769,2024,1,2
21769,2024,2,2
21769,2025,2,3
21769,2026,1,1
21771,2023,2,1
21771,2024,1,1
21773,2023,4,1
21773,2025,1,1
21773,2025,2,2
21773,2025,4,1
21774,2023,2,1
21774,2023,3,2
21774,2023,4,1
21774,2024,2,1
21774,2025,1,1
21774,2025,4,1
21780,2024,2,1
21780,2025,2,2
21782,2024,4,1
21782,2025,1,1
21782,2025,2,1
21782,2026,1,1
21783,2024,1,1
21783,2025,3,1
21783,2025,4,1
21784,2023,2,1
21784,2023,3,1
21784,2024,1,3
21784,2024,2,1
21784,2024,3,3
21784,2025,2,1
21784,2026,1,1
21787,2025,4,1
21788,2024,1,1
21788,2024,2,1
21788,2025,2,1
21791,2026,1,1
21797,2024,4,1
21798,2025,4,1
21801,2023,1,1
21801,2023,2,1
21801,2023,4,2
21801,2024,1,1
21801,2024,4,1
21801,2025,2,1
21801,2026,1,1
21804,2023,2,1
21804,2023,3,1
21804,2023,4,1
21804,2024,1,1
21811,2023,1,1
21811,2023,3,5
21811,2023,4,3
21811,2024,1,6
21811,2024,2,2
21811,2024,3,4
21811,2024,4,3
21811,2025,1,8
21811,2025,3,1
21811,2025,4,1
21811,2026,1,2
21817,2023,2,1
21817,2024,1,6
21817,2024,2,4
21817,2024,3,5
21817,2025,2,3
21817,2025,3,5
21817,2025,4,4
21826,2023,2,2
21826,2023,4,1
21826,2024,1,1
21826,2024,2,1
21835,2023,1,1
21835,2025,2,1
21835,2025,4,1
21842,2023,4,1
21842,2024,3,1
21851,2023,2,1
21851,2023,3,1
21853,2023,4,4
21853,2024,1,5
21853,2024,2,1
21853,2025,1,1
21861,2023,3,1
21863,2024,2,2
21867,2023,4,1
21871,2024,1,1
21872,2023,3,1
21872,2025,2,2
21890,2024,4,1
21901,2024,1,2
21901,2024,2,3
21903,2023,2,2
21903,2023,4,3
21903,2024,1,2
21903,2025,1,1
21903,2025,3,1
21904,2024,1,1
21904,2024,4,1
21913,2024,2,1
21914,2024,1,2
21914,2025,4,1
21915,2023,4,1
21915,2024,1,2
21915,2024,2,1
21920,2024,2,1
21921,2023,3,2
21921,2026,1,2
22195,2025,2,1
